woarzoo	waarzo
poaskepronk	kleren, nieuwe -
klerikoal	klerikaal
klark	klerk
klets, kletslullen	klets
klets	klets
kletsdeurnat	kletsdoornat
kletsdeurnàt, dwàrsdeurnat	kletsdoornat
kletsen, lullen	kletsen
reudeln, reuteln, tjaauweln	kletsen
reuteln, reudeln, tjaauweln	kletsen
tjaauweln, jaauweln, kekeln, kolsken, kwedeln, reudeln, reuteln, teutjen	kletsen, babbelen
fleerpuut (Ww.)	kletser
kletserei, kletserij	kletserij
kletskond, kletslullen	kletskont
smeerkoanes (Stad), bliksemskind, putter	kletskop, scheldwoord
kwakker	kletskous
proatjeboksem	kletskous
kletslullen, lullebruier	kletslullen
kletslulder, kletslullen	kletsluller
fleerpuut, kletsmaaier, kwaalmpot, lulbruier, lulmaaier, reudel	kletsmajoor
kletsmaaier, fleerpuut, kwaalmpot, lulbruier, lulmaaier, reudel	kletsmajoor
kwaalmpot, fleerpuut, kletsmaaier, lulbruier, lulmaaier, reudel	kletsmajoor
lulbruier, fleerpuut, kletsmaaier, kwaalmpot, lulmaaier, reudel	kletsmajoor
lulmaaier, fleerpuut, kletsmaaier, kwaalmpot, lulbruier, reudel	kletsmajoor
kletsmaier, kletslullen	kletsmeier
kletsmaaier, kletsmejoor	kletsmeier
deurhìnnat, dompeldeurnat, dwaarsdeurnat, sjompenat	kletsnat
dompeldeurnat, deurhìnnat, dwaarsdeurnat, sjompenat	kletsnat
dwaarsdeurnat, deurhìnnat, dompeldeurnat, sjompenat	kletsnat
sjompenat, deurhìnnat, dompeldeurnat, dwaarsdeurnat	kletsnat
kulloazie, keloazie	kletspraat
kletter, kladder	kletter
klatters	kletter
kletter	kletter
klettern, bìnzeln	kletteren, lopen, met geweld -, vallen, met geweld -
klatteren	kletteren, ratelen
klumen	kleumen
krimpkat, krimpkeudel, aarmhaart, iezegrim, knieper, knieperd, kniepstuver, knittje, krinde, krìnt	kleumer, gierigaard
verheukerd (Hl.), heukerg	kleumerig
kleumkadde, kleumkat	kleumerig, - persoon
kleumkat, kleumkadde	kleumerig, - persoon
kleumsk, kleums	kleumig
kleumkat, kleumkatte, krimpkat	kleumkat
klunen, kleunen	kleun
kleunen	kleunen
kluunders, klunen	kleuner
kleuren - fleuren	kleur
kleuren	kleuren
kleutern	kleuteren
bewoarschoul, snöddebelschoule	kleuterschool
snöddebelschoule, bewoarschoul	kleuterschool
kloven (Hl.)	kleuven
aanbakken, bakken, pikken	kleven
pikken, aanbakken, bakken	kleven
aanbakken	kleven, aanbranden
baks, bakseg, baksk, bakkeg, papperg, paps, papsk, plakkerg	kleverig
papperg, paps, papsk, baks, bakseg, baksk, plakkerg	kleverig
plakkerg, baks, bakseg, baksk, papperg, paps, papsk	kleverig
bakkeg, bakkerg, baks, bakseg, kleverg, klibberg, pikkerg	kleverig
bakkerg, bakkeg, baks, bakseg, kleverg, klibberg, pikkerg	kleverig
baks, bakseg, bakkeg, bakkerg, kleverg, klibberg, pikkerg	kleverig
kleverg, bakkeg, bakkerg, baks, bakseg, klibberg, pikkerg	kleverig
klibberg, bakkeg, bakkerg, baks, bakseg, kleverg, pikkerg	kleverig
pikkerg, bakkeg, bakkerg, baks, bakseg, kleverg, klibberg	kleverig
kliemsk	kleverig, klef
kevielen (Hl.), klevienders	klevienders
klief, klieve	klief
òttjesdag	kliekjesdag
klikschulden, plukschuld	kliekschuld
kleimen	kliemen
knieren	klier
knier	klier
toaie Tais	klier
klierdellen	klierdel
klien	klijn
klien	klijn
klain	klijn
klijn	klijn
klienland, klien	klijnland
klienverkooping, klien	klijnverkoping
klikke, klikker	klik
klik, klak, klar, klikker	klik
flappen, fleren	klikken
klikker	klikker
klikker	klikker
kitsken, aankittjen, kittjen	klikklakken
kittjen, aankittjen, kitsken	klikklakken
klikschulden	klikschuld
flapsnoet, fleerder	klikspaan
flapkoar, flapperd, flapscheet, flapsnoet, fleerder, klapspoan, klikspoan	klikspaan
flapperd, flapscheet, flapsnoet, flapkoar, fleerder, klapspoan, klikspoan	klikspaan
klapspoan, flapkoar, flapperd, flapscheet, flapsnoet, fleerder, klikspoan	klikspaan
klikspoan, flapkoar, flapperd, flapscheet, flapsnoet, fleerder, klapspoan	klikspaan
fleerder, flapkoar, flapperd, flapscheet, flapsnoet, klapspoan, klikspoan, smeerkwast, zuitkaauwer	klikspaan, mooiprater
klimoat	klimaat
klimaat	klimaat
klimmen	klimmen
eiloof	klimop
aailoof	klimop
win-om, win-op, winsel	klimop
aailoof, klimmer	klimop
klimmer, aailoof	klimop
klimschoule	klimschool
klink	kling
klungelbuultje	klingelbuil
klungelbuultje	klingelbuil
klingeln	klingelen
kluundern	klingelen
klink	klink
klink	klink
klinke, klink	klink, deur-
roazen, bandiezen, heuren, lewaaien, pandiezen, reren, schraaien, tjoedeln	klinken, lawaai maken, razen, schreien
klinker	klinker
klinkkloar	klinkklaar
klìnzer, klènzer	klinsbak
klaainboerken	klìnsterboerken
klip, muskeflap	klip
klip, klobbe	klip
klippen	klip
klipgat, klip	klipgat
klissen	klis
klis	klis
schietspaaide	klisteerspuit
klidde, klitter	klit
klits, klitse, klar	klits
klits	klits
klitter, aan de klitter	klitter
klaus (Ww.)	Kloas
kloader (Hl.)	kloater
klobbe	klobbe
klobke	klobbe
klobben	klobbe
klobbertje, klobbe	klobbetje
klouk	kloek
klôkke	kloek
klouk	kloek
gerizzelveerd	kloek
klok	kloek (kip)
kloks	kloeks
kloune	kloen
klout	kloet
kluus (W.W.K.)	kloeze
kluf	kloffie
klok	klok
klok	klok
klòkke, klòk	klok
klokfernuis	klokfornuis
klôk	klokhen
kloekholt, klokholt	klokhout
appelhoeske	klokhuis
kloktje, klokje	klokje
klòkje	klokje
klokje	klokje
klokjebruir, kloktjebruier	klokjesbroer
klokken	klokken
kloktjen, klok	klokken
klokken	klokken, klotsen
klokkendijf, kluun, molboonen	Klokkendieven
klòkkenspul	klokkenspel
klokstoul, stoulklok	klokkenstoel
klokstoul, stoulklok	klokkenstoel
klokkern, klokken	klokkeren
Klòkluder	klokluider
kloksgewicht, klokswicht	kloksgewicht
klokslag	klokslag
klokslag	klokslag
kloksmeer	kloksmeer
kloksmeer	kloksmeer
klole	klole
klomp, gelag, holsken, opspeulen	klomp
klombe, klomp, klumpe	klomp
klumpe, klombe, klomp	klomp
holleblokken (Ww.)	klompen
holsken, tripklompen	klompen (soort -)
tripklompen, holsken	klompen (soort -)
klomphoaver, kiek	klomphaver
klomke	klompje
klompke	klompje
klont, bult	klont
klontbantje, klont	klontbandje
klontert, klonterg	klonter
klontern	klonteren
kloetjen, kloeten	klonteren
kloeten, graimen, gremen, grijmen, klaaien, klaimen, kloddern, kloetjen, klottjen, kwakseln, kwengeln, kwìngeln, mòtten, pengeln, pulsken, roegeln, slintern, smodsen, soetern	klonteren, morsen
klonterg	klonterig
karlig	klonterig (van melk)
klonthakke, klontert	klonthak
klontje	klontje
klontjegroes, klontje	klontjesgruis
klontjeknipper, klontje	klontjesknipper
klontjekörf, klontje	klontjeskorf
klontjepot, klontje	klontjespot
klontjescheer, klontje	klontjesschaar
klontjetang, klontje	klontjestang
klontjetrom, klontje, trom	klontjestrom
klontpuil, klont	klontpuil
klontschuddel, klontschuttel, klont	klontschotel
kleuf	kloof
kleuf, schaaiden	kloof, scheiding (in haar)
klooster	klooster
Klooster, ’t, Kloosterdroapel	Klooster
’t Klooster	Klooster
klooster	klooster
Kloosterdroapel	Klooster Ter Apel
Kloosterboeren (in)	Kloosterburen
Kloosterholt	Kloosterholt
kloosterstijnen, putstijn	kloostersteen
kloosterstijnen	kloostersteen
kloot, dole	kloot
klooten!	kloot
kloot	kloot
klootjeverdrieven, dole	klootjeverdrijven
klootvegen	klootvegen
klootzak, kloot	klootzak
klootzakken	klootzakken
klop	klop
klop	klop
klop	klop
klopgeesten	klopgeest
klaphingst	klophengst
klaphengst, klaphengste, klophengst, klophengste	klophengst
kloppen, stemmen	kloppen
klòppen	kloppen, klutsen
klös, klössen	klos
klös, koanzel	klos, sneeuwbrok (onder schoeisel)
klösboan	klosbaan
klözzen	klossen
klootensarries, sarries	klotenchercher
klooterg, kloot	kloterig
klössen	klotsen
kluiwen	kloun
klountjen	klounen
kleuwen	kloven
kleuven	kloven, ploegen, soort -
klucht	klucht
klucht	kluft
kluft	kluft
kluft	kluft
kluchtbier, kluftbier, bier, gilde	kluftbier
kluchtdoomnie, klucht	kluftdominee
kluftheer, klucht	kluftheer
kloef, erei, klobbe	kluif
kluuf	kluif
kloefke	kluifje
kloef	kluifje
kluun, klien, klunen	kluin
kluin	kluin
kluun	kluin
kluunbijr, kluunbijer, kluunbier, kluinbier, cluinbier, kluun	kluinbier
kluinkoppen, kluun	Kluinkoppen
kluunschip, kluun	kluinschip
kluus, kerk	kluis
kloester, bodden	kluister
kloet, botjevoaren, klaikloet, klont	kluit
kluit, seeg	kluit
kloeze, kloes, jannewoariekloes	kluit
kloet, proppen	kluit
kluut, kloede, kloet, klont	kluit
kloet	kluit
kloede, kloet, klont, kluut, schovvel, speknek	kluit, persoon, dik -
kloetjen	kluiten
kloeten dansen, aiden	kluiten dansen
gewamsd	kluiten, uit de - gewassen
kloetentrapper	kluitentrapper
kloetern	kluiteren
kloeterg	kluiterig
kloethakken	kluithakken
kloetjebakker	kluitjesbakker
kloeven	kluiven
knoeven, gruin, knoffel	kluiven
kloeven	kluiven
kloefkederei, kloef	kluiverij
kluzen	kluizen
klunderbeun, klundern	klunderbeun
kroak (W.K.), beundien	klunderbeun
klunderbeune	klunderbeun
klunderbrouk, dreistok	klunderbroek
klundern, klondern	klunderen
klondern	klunderen
klontern	klunderen
klondondern, klundundern	klundern
klunderzolder, klunderbeun	klunderzolder
klongel, klungel	klungel
klongel, klungel	klungel
klongel	klungel
klongeln, klongel	klungelen
klongeln	klungelen, overspel plegen
klunderen	klussen
klutten, palten	klut
kloun, kloune	kluwen
kloun, kloune	kluwen
donde, dont, kloon, kloun, kloune, klouwen	kluwen
kloon, donde, dont, kloun, kloune, klouwen	kluwen
klouwen, donde, dont, kloon, kloun, kloune	kluwen
kloune, kloun, donde, dont, kaalf, kloon, klouwen, kolske	kluwen, persoon, onnozel -
klountje	kluwentje
knaak	knaak
knoap	knaap
monster, veger, vegerd	knááp
vegerd, veger, monster	knááp
beudel, beuker, beukerke	knaapje
beukerke, beuker, beudel	knaapje
knabbeln	knabbelen
knaauweln, knibbeln, nibbeln	knabbelen
nibbeln, knaauweln, knibbeln	knabbelen
knibbeln, knaauweln, nibbeln	knabbelen, knibbelen
knag	knag
knaggen, knagge	knagen
knoagen	knagen
knikken	knakken
knakken	knakken
knil, fut	knal
knil, fuut	knal
knal, knallen	knal, knallen
knap, broaf	knap
knap	knap
schier	knap, mooi
himmel	knap, schoon, netjes, mooi
knapbus	knapbus
knaphandeg	knaphandeg
knaphandegies	knaphandigjes
kloarhaaid, kloar	knapheid
knappen	knappen
knappen	knappen, vuurwerk laten knallen
knappers, klappers	knapper
knappert, knagge	knapper
knappert	knapper
knapscheet	knapscheet
knapschenkel	knapschenkel
knapzak, knapschenkel	knapzak
knagge, knappen	knar
knarre, knagge	knar
knarre	knar
knaars, knaarze	knar
knaar, knaare	knar
knarie	knariezoad
knarpen	knarpen
knartje, kalkountje	knarretje
gnos	knars
knirselbonk	knarsbeen
knarzelbonkie, knirselbonk	knarsbonk
knirselbonk, gnors, knarsen	knarsbonk
knarzeltje, knarzelbonkie	knarseltje
knarsen, knirsen, knirseln	knarsen
knarsen, knirsen	knarsen
knirzeln, knistern	knarsen
knaarzen, knistern	knarsen
knistern, knaarzen, knittern	knarsen, knetteren
knirzeg	knarsend
knarseg, knirseg, knarsen	knarsig
knastert	knaster
knaster	knaster
knaster	knaster
gnau, gnauen	knauw
knaauw	knauw
knaauw	knauw
knaueln	knauwelen
gnauen	knauwen
knecht, olle	knecht
knecht, boer, grootknecht, vent	knecht
boerknecht, grootknecht	knecht, eerste -
grootknecht, boerknecht	knecht, eerste -
aaierjong, haalfwas, schimmelmuiter, schoapjong, schoapmelker, schoapvent, stoppelknecht, voelveger	knecht, jongere -
haalfwas, aaierjong, schimmelmuiter, schoapjong, schoapmelker, schoapvent, stoppelknecht, voelveger	knecht, jongere -
schoapjong, aaierjong, haalfwas, schimmelmuiter, schoapmelker, schoapvent, stoppelknecht, voelveger	knecht, jongere -
schoapmelker, aaierjong, haalfwas, schimmelmuiter, schoapjong, schoapvent, stoppelknecht, voelveger	knecht, jongere -
schoapvent, aaierjong, haalfwas, schimmelmuiter, schoapjong, schoapmelker, stoppelknecht, voelveger	knecht, jongere -
stoppelknecht, aaierjong, haalfwas, schimmelmuiter, schoapjong, schoapmelker, schoapvent, voelveger	knecht, jongere -
voelveger, aaierjong, haalfwas, schimmelmuiter, schoapjong, schoapmelker, schoapvent, stoppelknecht	knecht, jongere -
schimmelmuiter, aaierjong, dikvreter, haalfwas, schoapjong, schoapmelker, schoapvent, sloekerd, sloekhaals, stoppelknecht, voelveger	knecht, jongere -, slokop
vìnt, ainspaanjer, vent	knecht, vent, vrijgezel
dainstjong	knechtje, beginnend -
knijlen, knoedel	knedelen
knepen	kneep
kneep	kneep
kneep	kneep
knirtjen, knitjen, prietjen	kneerten
knitjewinkel, knitjen	kneertwinkel
knebeg (Hl.)	knepeg
knepeg	knepig
knarren	knersen
knittern, knistern	knetteren
knittern	knetteren
knistern, knirzeln	knetteren, knarsen
knittern, bijs moaken, broasken, floeken, knistern, snaizen, vluiken, vluken	knetteren, opscheppen, vloeken
knitteries, knittern	knetterijs
knitterscheuren, knittern	knetterscheur
knitterslag	knetterslag
kneus	kneus
kneuter	kneuter
knuterboas	kneuterbaas
kneuterboer, keuterboer	kneuterboer
knutern	kneuteren
knuutern	kneuteren
knuterg, knutern	kneuterig
knuren	kneuzen
kneuzen, knuizen, knuren, knuzen	kneuzen
knuizen, kneuzen, knuren, knuzen	kneuzen
knuzen, kneuzen, knuizen, knuren	kneuzen
knuren, kneuzen, kniepen, knuizen, knuzen	kneuzen, knijpen
kneuzerg, kneus	kneuzerig
kneuzeg, kneuzerg	kneuzig
knuur	kneuzing
kneveln	knevelen
kniffeltoond, kniefeltoond, nieveltoond, schaihakke	knevelteend
knibbel	knibbel
knibbels	knibbel
knibbeln	knibbelen
knibbelkist, knibbels	knibbelkist
knibbelschot, knuppelschot	knibbelschot
knei, kneie	knie
knije, knij	knie
knovveltoons (Vk.)	kniebeltoond
knijdop	kniedop
knibbels	knieën
kaalverknijen, knibbeltoond, knibbeltoons, kniebeltoons, knivveltoond	knieën naar binnen, met de -
knibbeltoond, knibbeltoons, kaalverknijen, knivveltoond, knivveltoons	knieën naar binnen, met de -
kniebeltoons, kaalverknijen, knibbeltoond, knibbeltoons, knivveltoond	knieën naar binnen, met de -
knivveltoond, knivveltoons, kaalverknijen, knibbeltoond, knibbeltoons, kniebeltoons	knieën naar binnen, met de -
kneiham, ham, hoksels	kniehaam
knijhaalsteren, kniehalsteren	kniehalsteren
woagen van de knei	knieholte
hoksel, hoks	knieholte
knieber (Hl.)	knieper
kniepertjes	kniepkoukjes
kenijern, bochtkenijern	knier
kenijeren	knier
kniezelbieter, kniezoor	kniesbijter
knijdop	knieschijf
kniezoor	kniesoor
kneistok, kneistuk	kniestuk
binkje, hakje	kniestuk v.e. varken
hakje, binkje	kniestuk v.e. varken
kniezebieter	kniezebijter
kniezen, gniezen	kniezen
kniezen, gniffeln, gnistern	kniezen
kniezen	kniezen
kniffeltoond	kniffeltenen
knief, knieft, kniefmest	knijf
knief	knijf
kniefmest, kniefmes	knijfmes
knij-òkse (Vk.), òksel	knijham
kniep, kniepert	knijp
kniepbloar	knijpblaar
kniepbloar	knijpblaar
neuskebril	knijpbril
kniepen	knijpen
kniepen, knuren	knijpen
kniepert	knijper
knieper, knipper	knijper
knipper, knieper, pikje, wasknieper	knijper, wasknijper
kniephoezen, knieps	knijphuizen
kniepkadde	knijpkat
kniepkouktjes, kniepkoukies, iezerkouktjes	knijpkoek
kniepkoukjes, iezerkoukjes	knijpkoekje
knieps, kniepsk	knijps
kniepseghaid, knieps	knijpsigheid
kniepsloapke	knijpslaapje
kniepstuver, knieps	knijpstuiver
kniepstuver	knijpstuiver
knieptang	knijptang
knieptang	knijptang
knik, knipklei	knik
nikkoppen	knikkebollen
nikken	knikken
knaar, knare	knikker
albaster, badje, badjerd, badkerd, basterd	knikker
badje, badjerd, badkerd, albaster, basterd	knikker
basterd, albaster, badje, badjerd, badkerd	knikker
knikker	knikker
knikker	knikker
knikkers, dubbeltje, goedkoop	knikker, dubbeltje, goedkoop
bommel	knikker, grote -
bikkelknikker, bom, bommel, bosterd, koierd	knikker, soort -
bomke	knikker, soort -
bommel, bikkelknikker, bom, bosterd, koierd	knikker, soort -
bosterd, bikkelknikker, bom, bommel, koierd	knikker, soort -
koierd, bikkelknikker, bom, bommel, bosterd	knikker, soort -
knikkern	knikkeren
doddeltjen	knikkeren
koeltjen, koeltjestoiten	knikkeren (in een kuiltje)
koeltjestoiten, koeltjen	knikkeren (in een kuiltje)
doemken	knikkeren, oneerlijk -
knikkerjong	knikkerjong
knikkerkoel, koel	knikkerkuil
knikkelkoeltjen, koeltjen	knikkerkuilen
knikzak, niknak	knikzak
knip	knip
knipken, knippie	knip
knip, flap, kniep, kniepe, stap, vaal	knip, kroeg, stille -, portemonnee, val (werktuig)
knipwicht	knipgewicht
knipke	knipje
knipklei, knik, vaalland	knipklei
knipklei, vaalland	knipklei
knief	knipmes
knipmezze	knipmes
knipnoagels	knipnagel
knipnoagels, op knipnoagels	knipnagels
knipoogtjen, jen	knipogen
knippen, klontje, knip	knippen
knipperke, kant, tik	knippertje
knipperke	knippertje
knipscheet, knapscheet	knipscheet
knipperke	knipsloapke
knif, knit	knir
knisbak	knisbak
knirsen, knissen, knarsen, knisbak	knissen
knissen	knissen
knistert	knister
gnistern, knistern, kniezen	knisteren
gnistern	knisteren
knittern	knitteren
knors (Old.)	knizzel
knobbeg	knobbig
knobes	knobus
knoedel, noedel	knoedel
knoedel	knoedel
knoedeln, knötteln, knotteln, knoedel, knöt, knul, knuren	knoedelen
knovvel	knoefel
knooi	knoei
knooien	knoeien
flontjen, kloetjebakken, knooien, knottjen, kudeln, slentern	knoeien
knottjen, flontjen, kloetjebakken, knooien, kudeln, slentern	knoeien
knotjen	knoeien
kudeln, benuzzeln, doameln, draauwen, dreudeln, druntjen, flontjen, jutjen, keudeln, kloetjebakken, knooien, knottjen, nufken, nuvveln, nuzzeln, paaien, piezeln, pulen, schamzaaiern, schanzaaiern, slentern, tjaalmen, truzeln, tumeln, vernuzzeln, zammeln, zeuren, ziezeln	knoeien, oneffen worden, treuzelen, tuimelen
slentern, daauweln, doameln, flontjen, gengeln, gongeln, kloetjebakken, knooien, knottjen, kudeln, slingern	knoeien, slenteren, slingeren
knooiboksem, knooier, vrouder	knoeier
vrouder, knooiboksem, knooier, vruiden, vruider	knoeier
knooiboksem, hakkenkruk, knottjeboas	knoeier
knottjeboas, hakkenkruk, knooiboksem	knoeier
knooier, knooiboksem, kraivelder, schobberd, vrouder	knoeier, bedrieger
knoestje, poer	knoest
knoestje, bodden	knoest
houste, houst, knor, knorre, oest, oust, ouste	knoest
oest, houst, houste, knor, knorre, oust, ouste	knoest
strampelg	knoestig
knoeben (Hl.)	knoeven
knovvelge handen	knoffelig
knieflòk, knoefloof, knoeflook	knoflook
knoefloof, knoeflook, knieflòk	knoflook
knoefloof, knoeflook	knoflook
gnòl, knol	knol
ruif, knòl, knòlle, ruive	knol
ruive, knòl, knòlle, ruif	knol
maaiknollen	knollen, soort -
knollenboer	Knollenboeren
knolbotter	knollenboter
knolschil	knollenschil
knollensnijder	knollensnijder
rinkelknol, rinkel, roap, ropknol	knolraap
roap, rinkel, rinkelknol, ropknol	knolraap
ropknol, rinkel, rinkelknol, roap	knolraap
knolschille	knolschil
knooi	knooi
knooien	knooien
knoeien (W.W.K.), knoien	knooien
knoien (W.K.), knoeien	knooien
knooier, knooien	knooier
knooierei, knooierij, knooien	knooierij
knoaken	knook
knoopen	knoop
knup	knoop
golden knoopkes, golden	knoop
knup	knoop
knobe, knoop, knubbe, knup, knuppe	knoop
knubbe, knobe, knoop, knup, knuppe	knoop
knup	knoop
toes (ien de -)	knoop
olwieveknup	knoop, slechte -
knoop, knobe, knubbe, knup, knuppe, vluik	knoop, vloek
knuppe, knup, knobe, knoop, knubbe, vluik	knoop, vloek
knupdouktje	knoopdoek
knoopscheer	knoopschaar
knoopkeschounen	knoopschoen
knop	knop
knopkes	knop
knoppen	knop
knobbe	knop
knoppen	knop
knubbe, knup	knop
knobbe, knop	knop
knop, knobbe	knop
knuppen	knopen
knuppen	knopen
knopenbak	knopenbak
knoppie	knopje
knopke, bingel	knopje, oorbel
knopkiek	knopkiek
knopringen, ploatringen	knopring
knopspellen, ploat	knopspeld
knopstoulen	knopstoel
gnors, knors, gnistern	knor
knorhoan, doesterd, foeterkoar, foeterkoare, mopperkoar, mòtgat, mòtjeder, motterd, naro, proem, proeme, toesterd	knorhaan, mopperaar
brommen	knorren
gnorren	knorren
neulen	knorren
kenonnepot (Ww.)	knorrepot
franterd, frantpot, franterpot	knorrepot
gramniet, gremiet, naarboksem, naarpot, nusterpot, vranterd	knorrepot
gremiet, gramniet, naarboksem, naarpot, nusterpot, vranterd	knorrepot
naarboksem, gramniet, gremiet, naarpot, nusterpot, vranterd	knorrepot
naarpot, gramniet, gremiet, naarboksem, nusterpot, vranterd	knorrepot
nusterpot, gramniet, gremiet, naarboksem, naarpot, vranterd	knorrepot
grommig	knorrig
franterg, narreg, nirteg	knorrig
nirteg, franterg, narreg	knorrig
narreg, franterg, laankwieleg, lanterg, ledderg, min, nareg, nirteg, old	knorrig, vervelend
knors!	knors
knirselbonk, gnors, knarsen	knorsbonk
knöt, doddel, knoedel	knot
roof	knot
knödde, knöt, stödde, stöt	knot
knöt, knödde, stödde, stöt	knot
stödde, knödde, knöt, stöt	knot
stöt, knödde, knöt, stödde	knot
wilgen stobbe (W.K.)	knotwilg
knoffels	knuffel
knoffel, knoffeln	knuffel
knoffelband	knuffelband
knoffeln	knuffelen
aandoeken	knuffelen
knoffelg	knuffelig
knoffelg	knuffelig
knoffelkond	knuffelkont
knoestje, bodden	knuist
knul	knul
knul	knul
knul	knul
schuzzel (Vk.)	knul
knubbe	knup
knubbel	knuppel
knuppel, anjuk	knuppel
bongel, bungel	knuppel
knuppelbatteljon	knuppelbataillon
knopen (Hl. en W.K.)	knuppen
knuut, gnuut	knut
knuut, gnuut	knut
kneutern	knutern
knuterboksem	knutselaar
knuterboksem	knutselaar
knuteren	knutselen
knutseln, hutseln	knutselen
knutern	knutselen
knutern	knutselen
knutern, hutseln, kleutern, knuustern, knuutjen	knutselen
knuustern, hutseln, kleutern, knutern, knuutjen	knutselen
knuutjen, hutseln, kleutern, knutern, knuustern	knutselen
tukeln	knutselen
tuntelwaark (Hl. en W.K.)	knutselwerk
kobben, koffen	kob
koap, koab, kaap, kobbe	kobbe
kobbe	kobbe
körtbaier, ber	koddebeier
biesjoager, biezejoager	koddebeier
koddegoaren	koddegaren
koddel	koddel
kow	koe
kou	koe
kou	koe
boekou, baist, koe, kou, koubaist	koe
koe, baist, boekou, kou, koubaist	koe
koubaist, baist, boekou, koe, kou	koe
koune	koe
baisten, ólgen	koe
baist	koe
kou, opsailen	koe
kaalfkou	koe, drachtige -
kou, melk	koe, melk
kween, kwene	koe, onvruchtbare -, vrouw, onvruchtbare -
kwene, kween	koe, onvruchtbare -, vrouw, onvruchtbare -
koubalk	koebalk
koubalk	koebalk
koubat, bat	koebat
koubijst, bijsten	koebeest
koubaist	koebeest
koudek	koedek
koddel-om, korrel-om	koedel
koudeur	koedeur
Koudaif	koedief
koudaif	koedief
koef	koef-
kougang, koegang, achterdeel	koegang
kounavvel	koehaffel
kouhakkeg	koehakkig
koeheer	koeherder
kouheer	koeherder
koehokkeling	koehokkeling
kouhoes, achterdeel, koubalk	koehuis
kouhoesdele, achterdeel	koehuisdeel
hoornvij	koeien
koujendrieven, peerdedrieven	koeien drijven
koubloas	koeienblaas
koudijf	koeiendief
kouflare, kouflort, kouflotter, kouschiet	koeiendrek
kouschiet, kouflare, kouflort, kouflotter	koeiendrek
koujendriever, kouiendriever, peerdedrieven	koeiendrijver
kougeld	koeiengeld
kougroup, kougroupe, group	koeiengroep
flaar, flort	koeienhoop
flort, bèl, bèlle, flaar, flont, golp, goot, gulp, lor, palt, polt, tjont, tjonte, tont, tonte	koeienhoop, scheut, vod
koujungs, koeheer	koeienjongen
kouschiet	koeienschijt
kouschip	koeienschip
kouschot	koeienschot
kousmeer, smeer	koeiensmeer
kousteert	koeienstaart, koestaart
kousteert	koeienstaart, koestaart
kouhut, kouschut, koustaal	koeienstal
kouschut, koustaal, kouhut	koeienstal
koutit	koeientiet
koutong	koeientong
kougidder	koeienuier
koundert	koeierd
kouk, kouke, endelkouk, kool	koek
kouk, kool	koek
kouke	koek
kouke, kouk	koek
kui	koekalf
koukblok, koukhouen	koekblok
pankoukspaan	koekenpan
pankoukspaan	koekepan
koekert	koekerd
koekert	koekerd
koekhakken, koukhouen	koekhakken
koukhaauwen, koukhakken, kouksloagen	koekhakken (spel)
koukhouen	koekhouwen
koukje, koekje	koekje
bagelbak	koekje (voor schaatsers), turfinstrument
kniepertjes	koekjes, soort -
koekoek, horendoren-kroepoet	koekoek
koekoeken	koekoek
koekoek	koekoek
pinksterbloume, pinksterbloum	koekoeksbloem
koekoekshooi	koekoekshooi
koekoekspei	koekoeksspog
kouksloagen, koukhouen	koekslaan
kouktoavel, kouktoaveltje	koektafel
koukvreters	Koekvreters
koul, luchteg	koel
luchteg, koul, lös	koel, vrolijk
koulbloudeg	koelbloedig
koulpot	koelpot
koumis	koemest
kounavvel, kounaffel	koenavel
korrod	Koenraad
koupeerd	koepaard
kuur, kiekert	koer
kuren	koeren
kerijr, kerair, koeraier	koerier
koeraaier	koerier
kuuroogen, kuren, kuuroogd	koerogen
kuuroogd, kuren	koeroogd
koers	koers
kouert	Koert
Kouert	Koert
kos, hus	koes
koesen, koetsen	koesen
koesken, koesen	koesen
koesen, koetsen	koesen
koesjebeien	koesjebes
koeskassen, koeskas	koeskassen
koeskas	koeskoes
koudeel, kougaang	koestal
kougaang, koudeel	koestal
koubaalk	koestalzolder
beklokkern	koesteren
koetern	koeteren
koets	koets
koetsewoagen	koets
koetsen, koesen	koetsen
koetspeerd, driest	koetspaard
koetspeerd	koetspaard
koetswoagen, koetsewoagen	koetswagen
keuvern	koeveren
keuvern	koeveren
kouvout	koevoet
kouvout	koevoet
kouvreters	koevreter
kouvreters	Koevreters
kouswaid, kouswaide, schoapswaide	koeweide
koffen, knoffels	kof
kof	kof
kovver, komver, ....erd	koffer
kovver	koffer
koffie, koffien, tebak	koffie
koffie	koffie
kofje, kovvie	koffie
kovvie, kofje	koffie
koffie opsloagen	koffie opslaan
drundeltje	koffie, bakje -
kovvieachteg	koffie, houdend van -
juggelwodder, joegel, joggel, joggelebom, juggel	koffie, slechte - (e.d.)
koffieboudel	koffieboel
koffieboonbrander, koffieboonen	koffiebonenbrander
koffieboonspuil, koffieboonen	koffiebonenpuil
koffieboonstrom, koffieboonen	koffiebonentrom
koffieboonen	koffieboon
koffiebred	koffiebord
koffiedik	koffiedik
prut, prudde	koffiedik
kovvieprut	koffiedik
koffiedrinken	koffiedrinken
konkeln	koffiedrinken, konkelen
koffiedrinker	koffiedrinker
koffiedrinkerstied	koffiedrinktijd
koffiekonkeltje	koffiekonkel
koffiekroan	koffiekraan
koffieloodje	koffieloodje
kovvielood, lood	koffiemaat
lood, kovvielood	koffiemaat, lood, schietlood
kroantjepot	koffiepot, ouderwetse -
