eerdappeldoggen	Aardappeldoggen
matrozeneerappels	matrozenaardappel
maseive	matseive
foekeln	matsen
maddeklòpper	mattenklopper
messels	mazelen
moazen	mazen
mezurkoa	mazurka
maizenoa	maïzena
megiele	mechila
megotten	mechotten
medepart	mede-eigenaar
toedoent	medewerking
draankfleske	medicijnfles
met	mee
mitdoun	meedoen
mitgoan	meegaan
meelderg	meelderig
klont	meelkost
mitlokken	meelokken
meelpude	meelzak
meente	meent
meips	meeps
meerderman	meerdere
meerderjoareg	meerderjarig
mitreken	meerekenen
meerschoem	meerschuim
maiske	mees
mijst	meest
mitstemmen	meestemmen
mainstieds	meestentijds
mester	meester
mesterkwoad	meesterkwaad
meesterliek	meesterlijk
mesterschop	meesterschap
meesterske	meesterse
meede	meet
meetladde	meetlat
mijve	meeuw
maifie	meeuwtje
touvalen	meevallen
mitvrijen	meevrijen
mitweren	meeweren
mitwarken	meewerken
Mai	mei
Maioavond	meiavond
maid	meid
Maidag	meidag
hoageldoorn	meidoorn
meiolderbeien	meiholderbes
mulder	meikever
wichterverziede	meisjesbezoek
wichtergek	meisjesgek
Maaistoaken	meistaking
Maitied	meitijd
mekaaium	mekajem
mekeniek	mekaniek
mankeliek	melancholiek
melle	melde
meeles	melis
melkoavend	melkavond
melkcenten	melkcent
zeudiezel	melkdistel
melkoavend	melkenstijd
melkerei	melkerij
schoamel	melkerskrukje
melkfebriek	melkfabriek
melkengört	melkgort
melkengörtenbrei	melkgortebrij
melkhoes	melkhuis
melkenkoamer	melkkamer
melkbaist	melkkoe
melkmollen	melkmouw
melknust	melknest
melkvaller	melkvaalt
melkenwoater	melkwater
teems	melkzeef
melkzeiën	melkzijgen
melkzoeger	melkzuiger
menje	mem
mainie	menie
menneg	menig
minnegain	menigeen
mennevolten	meniggevouwen
mennegmoal	menigmaal
mennegsten	menigste
hoop	menigte
mennevolten	menigvoud
mainen	mening
menistjen	menisten
Menistenvermoaning	menistenvermaning
mennîng	menning
menoege	menoeche
menoeche	menoege
menskedokter	mensendokter
menskeëten	menseneten
menskenkinder!	mensenkind
menskelucht	mensenlucht
minskemoren	mensenmoorden
minskenschaauw	mensenschuw
minskenvlaais	mensenvlees
menwoagen	menwagen
marg	merg
meereg	merig
merrinas	merinos
maark	merk
maarkboar	merkbaar
marken	merken
meer	merrie
mest	mes
Mesdaghoaver	mesdaghaver
mesjokke	mesjogge
mesjie’eg	messias
mesk	messing
mis	mest
jirre	mest;gier
misbulde	mestbult
misdôbbe	mestdobbe
missen	mesten
misgiereg	mestgierig
groep	mestgoot
mistvâlt	mesthoop
miskoar	mestkar
mistiek	mestkever
mismennen	mestmennen
misplank	mestplank
misproam	mestpraam
misschudden	mestschudden
miswoagen	mestwagen
metoal	metaal
òftreden	meten
steenmetseler	metselaar
messeln	metselen
spesie	metselkalk
metterg	metterig
mitzetten	metzetten
meuge	meug
mogen	meuken
meukerg	meukerig
mevraauw	mevrouw
mezozze	mezoeze
mesomme	mezomme
maauwen	miauwen
middeg	middag
middegtied	middagtijd
middeldeelen	middeldeel
middeldiek	middeldijk
middelholt	middelhout
midlekerwies	middelijkerwijs
middelkerwies	middellijkerwijs
middelmantje	middelmannetje
middelmart	middelmarkt
middelmoateg	middelmatig
middelswarm	middelzwerm
middeldeur	middendoor
middelschot	middenrif
middelschot	middenschot
mieke	mie
miggeln	miegelen
mieghummel	mieghommel
mip	miep
mieghummel	mier
maaiern	mieren
mierevreter	mierenvreter
misgaster	miesgasser
miesjebeireg	miesjebeirech
miesponum	miesponem
mietern	mieteren
mieterg	mieterig
miggeln	miggelen
mieden	mijden
miedsoam	mijdzaam
miel	mijl
miemern	mijmeren
mien	mijn
mienen	mijnen
miening	mijning
miet	mijt
mile	mila
milde	milt
minne	min
minderhaid	minderheid
onjaerich	minderjarig
mindermachteg	mindermachtig
mineroalwotter	mineraalwater
minneg	minhag
minderzijern	miniseren
menister	minister
minjen	minje
minnebraif	minnebrief
minneghaid	minnigheid
meroakel	mirakel
gebeer	misbaar
misbrudsel	misbroedsel
misbroek	misbruik
misdrief	misdrijf
misduden	misduiden
mishoareg	misharig
mishortjen	mishorten
mishotjen	mishotten
misjpoge	misjpooche
miskleureg	miskleurig
miskwoam	miskwaam
mislaaiden	misleiding
miskilen	mislukken
mismoudeg	mismoedig
mispels!	mispel
meschijn	misschien
mislik	misselijk
misten	missen
flater	misslag
dook	mist
doken	misten
diezeg	mistig
misvalleg	misvallig
miks	mix
mizreg	mizrach
mobelezoatsie	mobilisatie
modderberen	modderbeer
modderhou	modderhouw
bragelg	modderig
moudeger	modig
mui	moe
moud	moed
flaauwmoudeg	moedeloos
moeke	moeder
moekegek	moedergek
titmelk	moedermelk
moudersjong	moedersjong
moudersmens	moedersmens
doodvlek	moedervlek
mouderzoalig	moederzalig
driest	moedig
moudveeren	moedveren
moudwilleghaid	moedwil
moudwillens	moedwillens
wilmoedes	moedwillig
muideghaid	moeheid
meu	moei
muien	moeien
muite	moeite
mouer	moer
moor	moeras
zompeg	moerassig
moureg	moerig
mouervooltje	moerveulen
mous	moes
mousappel	moesappel
smodsappels	moesappels
mousplanten	moesplant
mouskerij	moestuin
muite	moet
muiten	moeten
moffen	mof
moffeln	moffelen
moffetoer	moffentoer
aal	mogelijk
meugelkhaid	mogelijkheid
meugen	mogen
meree	moiré
mokken	mok
meuker	moker
mokkepooten	mokkenpoot
mollie	mol
molleboonen	molboon
queren	molen
mulder	molenaar
mulderske	molenaarsvrouw
meulenhoes	molenaarswoning
mölnhoes	molenhuis
meulenreken	molenrekening
meulnschot	molenschot
rou	molenwiek
malstoatsies	molestatie
molverd	molferd
möllen	mollen
reet	mollengang
molstap	molleval
molbult	molshoop
molsloat	molsla
mommelkemour	mommelmoeder
mommelen	mompelen
mond-op-mond-poesten	mond-op-mond-beademing
muntlick	mondeling
mondjen	monden
mondgau	mondgauw
mondharp	mondharmonica
mondharmonikoa	mondharmonika
mondjeploagen	mondjeplagen
mondjeproaten	mondjepraten
monkeln	monkelen
munnek	monnik
mons	monsieur
munster	monster
monstern	monsteren
monduur	montuur
schoon	mooi
mooibluiers	mooibloeier
mooiighaid	mooiigheid
menijltjes	mooineeltje
menijltjeperen	mooineeltjespeer
mooieghaid	moois
moorddoadeg	moorddadig
mooren	moorden
moordener	moordenaar
moordprijmen	moordpriem
moorke	moork
moat	moot
vrevel	mopperig
morelkassen	morelkers
mörgen	morgen
murgenvroo	morgenvroeg
morreln	morrelen
mortjen	morren
groetjederij	morsboel
smodde	morsebel
groetjen	morsen
onhuer	morsig
mossels	mossel
mosterdmeulen	mosterdmolen
soepenmosterdstip	mosterdsaus
motdiezel	motdistel
mothoar	mothaar
motje	motschip
motschup	motschop
motstijn	motsteen
motjen	motten
mottegras	mottengras
motschiet	mottenschijt
motterg	motterig
motoel	motuil
mot	motvlinder
motzeeve	motzeef
molt	mout
moutwien	moutwijn
mevijern	moveren
mudde	mud
movveg	muf
moffeg	muffig
movveghaid	mufheid
mietjefoek	muggenzifter
muggeg	muggig
moe	mui
moelbaand	muilband
moes	muis
moeske	muisje
moeskevoal	muiskleurig
moeskestil	muisstil
moeskevoal	muisvaal
moezeln	muizelen
moezenusten	muizenissen
mollebonen	mullenbonen
mummeln	mummelen
muntje	munt
muif	murf
knâsteren	murmureren
meur	murw
muskes	muskus
muskus	muskusreuk
muskai	mussenei
muskenust	mussennest
mier	muur
muurbloum	muurbloem
muurloes	muurluis
meziek	muziek
motschop	mòtblik
noa	na
noaoaren	na-aarden
noa-oapen	na-apen
noad	naad
noadgoaren	naadgaren
naihoezen	naaihuis
naikoamer	naaikamer
naikörfke	naaikorf
nailap	naailap
naimeesterske	naaimeesterse
naisterspries	naaistersprijs
naiwichter	naaiwicht
nakend	naakt
naalkoker	naaldekoker
noam	naam
register	naamlijst
noar	naar
noast	naast
negeste	naaste
noasten	naasten
noababbeln	nababbelen
noabestoanden	nabestaanden
noabetrachten	nabetrachting
noabie	nabij
noabaauw	nabouw
noabureg	naburig
noaber	nabuur
nachtendagke	nacht-en-dagje
nachtbidders	nachtbidder
nachtegoal	nachtegaal
nachtelk	nachtelijk
schammeloek	nachtjapon
nachtlampie	nachtlamp
nachtlampke	nachtlampje
nachtmoalsdag	nachtmaalsdag
nachtmoalsgoud	nachtmaalsgoed
nachtmoalskan	nachtmaalskan
nachtmoalsklijd	nachtmaalskleed
nachtmoalsstoet	nachtmaalsstoet
nachtmoalswien	nachtmaalswijn
uil	nachtvlinder
noadat	nadat
amper	nadeel
noadenken	nadenken
noader	nader
namaels	naderhand
noadikken	nadikken
noagedachtenis	nagedachtenis
noagels	nagel
noageldreuger	nageldroger
noagelkees	nagelkaas
noageltjes	nageltje
noagenog	nagenoeg
noajoar	najaar
noakend	nakend
noakomen	nakomen
noakomertje	nakomertje
bemoaken	nalaten
noaloateg	nalatig
noaloop	naloop
noalopen	nalopen
noamelk	namelijk
noamens	namens
noameten	nameten
noanemend	nanemend
noapoten	napoten
nappenslijfker	nappenslever
paoskebloumen	narcis
narkoze	narcose
naren	narren
nareg	narrig
nastjen	nasjen
noasnuustern	nasnuffelen
noasnuustern	nasnuisteren
noaspeuren	naspeuren
noasporen	nasporen
noastöt	nastoot
noatsie	natie
noatrekken	natrekken
noaturen	naturen
noatuur	natuur
naauw	nauw
even	nauwelijks
naauwkeureg	nauwkeurig
navvel	navel
noavenant	navenant
noavolgen	navolgen
noavrucht	navrucht
noazoat	nazaat
noazeggen	nazeggen
nebben	neb
neider	neder
arm	nederig
neerloag	nederlaag
ne	nee
neefie	neefje
neerhoal	neerhaal
neerkaauwen	neerkauwen
deelbatsen	neerkwakken
deelleggen	neerleggen
omdeelsloagen	neerslaan
wamzen	neersmakken
nefiege	nefieche
negenhoed	negenhuid
negenoogtjen	negenogen
negenoogtjen	negenoog
negenweeksen	negenweekse
negerrit	negeret
negerschiet	negerschijt
nekken	nek
lekeive	nekeiwe
nekjen	nekken
naarms	nergens
nereg	nerig
neren	nering
nerendounde	neringdoende
meshama	nesjomme
nust	nest
nustdotje	nestdot
nustai	nestei
nuzzeln	nestelen
nusterg	nesterig
nustjederei	nesterij
nustje	nestje
nettel	netel
nettelbossie	netelbos
niddel	netelig
neddelkeunenkje	netelkoninkje
netekam	netenkam
nettenvreters	nettenvreter
neuze	neus
nöster	neusgat
nusters	neusgaten
nusters	neuster
nutel	neutel
nusseln	neuzelen
neusken	neuzen
dook	nevel
nibbeln	nibbelen
niegesj	niechesj
niefeln	niefelen
nums	niemand
nieren	nier
nich	niet
niks	niets
nei	nieuw
neiboer	nieuwboer
neigroaven	nieuwgegraven
nijgras	nieuwgras
nij-joar	nieuwjaar
neijoarsloopen	nieuwjaarlopen
neijoarsloopers	nieuwjaarloper
nij-joarsdag	nieuwjaarsdag
neijoarskouken	nieuwjaarskoek
neiloatje	nieuwlaad
nijloatje	nieuwlaatje
neiland	nieuwland
neimelkachtig	nieuwmelkachtig
nijmelk	nieuwmelkt
nijmoods	nieuwmodisch
nijplichteg	nieuwplichtig
nijs	nieuws
neisoavens	nieuwsavonds
naisblad	nieuwsblad
neisgierig	nieuwsgierig
neike	nieuwtje
naichies	nieuwtjes
proesten	niezen
nied	nijd
niedeg	nijdig
niedsch	nijpend
knieptange	nijptang
nietsk	nijts
nuver	nijver
nip	nipt
neudeg	nodig
nuigen	nodigen
neudegste	nodigste
nuimen	noemen
non	noen
nukkern	nokkeren
numnoatsie	nominatie
nun	non
genood	nood
noodhouten	noodhout
noodsprang	noodsprong
noodstaal	noodstal
nootlik	noodwendig
noodzoakelk	noodzakelijk
noor	noord
norelk	noordelijk
neut	noot
noppen	nop
nobben	noppen
noabergeliek	normaal
normoalschoul	normaalschool
normoalschouljonges	normaalschooljongen
proel	nors
notoabeln	notabelen
neudedop	notedop
neudjen	noten
neutenpotjen	notenpotten
neutjen	notenschieten
na	nou
now	nu
nuvveg	nuffig
steertpogge	nufje
numen	nukken
noekeghaid	nukkigheid
numeg	numig
nummern	nummeren
nummerroiler	nummerverwisselaar
nutloan	nutlaan
nuunkaalke	nuunkalk
nuuntjen	nuunten
eu	o
ommesaaiern	oavensaaiern
obsternoat	obstinaat
mörgenman	ochtendmens
ou	oe
oufen	oefenen
or	oer
ôttern	oeteren
grondswaalfke	oeverzwaluw
ovver	offer
amfietsie	officie
ofcier	officier
glimmers	ogen
omzein	ogenblik
oogvol	ogend
oogendijnen	ogendienen
hofdainstjes	ogendiensten
oogenkloar	ogenklaar
oogenschien	ogenschijn
ogenschienlek	ogenschijnlijk
oogenslag	ogenslag
oogwaide	ogenweide
och!	oh
geeloker	oker
eulie	olie
euliebasterd	oliebaster
eulieflort	olieflort
eulieklip	olieklep
eulieslag	olieslag
euliewark	oliewerk
eulifant	olifant
scheervogel	olijkerd
euljen	oliën
omme	om
omarbaiden	omarbeiden
ombakkeln	ombakkelen
omboien	omboden
ombulen	ombollen
ombommedijern	ombombarderen
omboren	omboorden
ombouen	ombouwen
omboegen	ombuigen
omdoun	omdoen
omdeupen	omdopen
omzwienen	omdwalen
oumern	omeren
omgoan	omgaan
omgedijl	omgedeel
strieklings	omgekeerd
omgobbeln	omgobbelen
omhann’	omhanden
òfriggeln	omheinen
opgooien	omhoogwerpen
omheuren	omhoren
omhollen	omhouden
omjoagen	omjagen
kruien	omkeren
omkarve	omkerf
omklokkern	omklokkeren
bekoopen	omkopen
omkoddeln	omkorrelen
omkriegen	omkrijgen
omkroepen	omkruipen
omkrukkeln	omkrukkelen
omkrollen	omkrullen
omlappen	omlap
omlooper	omloper
omendom	ommendom
omneien	omnaaien
ompampeeren	ompamperen
ompotjebulen	ompotjebeulen
omroak	omraak
omrammaien	omrammeien
omrais	omreis
omrezelvijern	omresolveren
omreien	omrijgen
omruiern	omroeren
omschontjen	omschonnen
omsloagen	omslaan
omslachteg	omslachtig
omsmieten	omsmijten
umsmieter	omsmijter
omstoan	omstaan
omstoken	omsteken
omstrúnen	omstruinen
omtjakseln	omtjakselen
omtouschijten	omtoeschieten
omtroffeln	omtroffelen
omvoamen	omvademen
ommevruten	omwroeten
omzoadeln	omzadelen
dwemmeln	omzeuren
omzug	omzicht
omzeumen	omzomen
omsunst	omzonst
zwalken	omzwerven
omswinnen	omzwinden
omswirreln	omzwirrelen
onzuit	onaangenaam
onbaarmhaarteg	onbarmhartig
onbegriepelk	onbegrijpelijk
onbegripsoam	onbegripzaam
onbehaauwen	onbehouwen
onbekwoam	onbekwaam
onbehindert	onbelemmerd
schietscheterij	onbenulligheid
onbeschoafd	onbeschaafd
onbeschoft	onbeschaafde
onberuchtiget	onbesproken
onbestekkelk	onbesuisd
onbevaert	onbevreesd
onbesworen	onbeëdigd
onbruukboar	onbruikbaar
onkristelk	onchristelijk
under	onder
onderbijntjes	onderbeens
onderboksem	onderbroek
onderdoan	onderdaan
onderdoanen	onderdanen
onderdail	onderdeel
onderstòppen	onderdekken
onderdeur	onderdoor
onderèn	ondereind
ondergrondsploug	ondergrondsploeg
onderhantjen	onderhanden
onderhoud	onderhoed
onderhollen	onderhouden
onderköst	onderkorst
onderköster	onderkoster
onderligger	onderlegger
rompke	onderlijfje
onderschaid	onderscheid
ondersloagen	onderslaan
underste	onderste
ondersteker	ondersteek
onderstreuen	onderstrooien
ondertied	ondertijd
ondersloagen	ondertroeven
undertuug	ondertuig
ondervinnen	ondervinden
onderflouern	ondervloeren
onderwegens	onderweg
onderweegsters	onderwegger
onderwies	onderwijs
onderwiezen	onderwijzen
onderwiezer	onderwijzer
onderzuik	onderzoek
ondainst	ondienst
vloot	ondiep
ondounlek	ondoenlijk
ondudelk	onduidelijk
tweespannigh	oneens
sloagerig	oneffen
ongoal	onegaal
on	oneven
onfersounlek	onfatsoenlijk
ongedoan	ongedaan
ongedureg	ongedurig
ongelden	ongeld
ongeliek	ongelijk
overhoal	ongeluk
ongenoade	ongenade
onbeleerd	ongeoefend
onverscheiden	ongescheiden
ongestoadig	ongestaag
ongestoadeg	ongestadig
miskwâmheid	ongesteldheid
meleur	ongeval
plusminus	ongeveer
ongevuileg	ongevoelig
porrig	ongewassen
ongezijn	ongezien
ongezondeghaid	ongezondigheid
ongeargd	ongeërgd
ongoud	ongoed
wanbereg	onhandelbaar
onjouelk	onjauwelijk
onduchteg	onklaar
kost	onkosten
onkruud	onkruid
korts	onlangs
onliede	onlede
onvrede	onmin
onmoi	onmoeite
onmeugelk	onmogelijk
onmeugelkhaid	onmogelijkheid
onnasch	onnas
onnasteg	onnastig
onneuzel	onnozel
onopholdelk	onophoudelijk
onpoar	onpaar
onpertiedeg	onpartijdig
onroad	onraad
onroadjen	onraden
ònrecht	onrecht
onrechtmoateg	onrechtmatig
onrei	onreed
govvelg	onregelmatig
onroerlyk	onroerend
onrusteg	onrustig
uzes	ons
onslú	onslui
onstuum	onstuim
pluusterg	onstuimig
mörgeneten	ontbijt
ontbinnen	ontbinden
ontbrannen	ontbranden
ontdeuen	ontdooien
ontmâken	onterven
landerig	ontevreden
misgelden	ontgelden
ontholden	onthouden
missaken	ontkennen
ontkniepen	ontknijpen
entkomen	ontkomen
ontloaten	ontlaten
entloopen	ontlopen
aanders	ontroerd
ontraauw	ontrouw
ontronteg	ontruntig
ontsloagen	ontslaan
ontstoan	ontstaan
fiet	ontsteking
entwenden	ontstelen
verheerdhaid	ontsteltenis
ontstrieden	ontstrijden
entvangen	ontvangen
ontvoaren	ontvaren
smaart	ontvelling
entfleen	ontvluchten
ontwìnnen	ontwennen
onwetens	ontwetend
ontwieken	ontwijken
ontwòddeln	ontwortelen
alteroatsie	ontzetting
woaren	ontzien
onverantwoordelk	onverantwoordelijk
onverbeterliek	onverbeterlijk
onverdachs	onverdachts
onverdroagelk	onverdragelijk
onverdrutzoam	onverdroten
onverduldeg	onverduldig
onverhoedens	onverhoeds
ongetroost	onverrichterzake
onverschilleg	onverschillig
onverdachts	onverwacht
onverzichtig	onvoorzichtig
onversiend	onvoorzien
onverzijns	onvoorziens
geld	onvruchtbaar
miete	onweersbeestje
dunderlocht	onweerslucht
dunderkoppen	onweerswolken
onweereg	onwerig
onwies	onwijs
onwieze	onwijze
onzuun	onzien
onziedeg	onzijdig
onzuit	onzoet
onzuun	onzuin
gemoet	oogmerk
eu	ooi
ooijescheper	ooienschaper
aaiber	ooievaar
aaiberbek	ooievaarsbek
eiberbekzeeft	ooievaarsbekzeef
eulam	ooilam
euchie	ooitje
ok	ook
oomkòòl	oomkool
bengel	oorbel
oort	oord
zulfwait	oordeel
oordailen	oordelen
ooriesder	oorijzer
oorknopkes	oorknop
oorlogsschepen	oorlogsschip
oorzaip	oorsmeer
lababbel	oorvijg
knieptang	oorwurm
oorzoak	oorzaak
oostelk	oostelijk
oostewind	oostenwind
oosterd	oostereind
oosterkoamer	oosterkamer
Oostganger	oostganger
oosterd	oostwaarts
opoamen	opademen
opakkern	opakkeren
oparbaiden	oparbeiden
opbaargen	opbergen
opbewoaren	opbewaren
opbobbeln	opbobbelen
opboudeln	opboedelen
opborstjen	opborsten
opbaauwen	opbouwen
opbroaden	opbraden
gemoak	opbrengst
opsìnten	opcenten
opdienen	opdeinen
opdijpen	opdiepen
opdraien	opdraaien
bestèl	opdracht
opdrachteg	opdrachtig
opdroagen	opdragen
opdriever	opdrijver
opins	opeens
gaps	open
openboar	openbaar
openboaren	openbaren
open	openen
openhaarteg	openhartig
openlief	openlijf
operoa	opera
operoatsie	operatie
operaaiern	opereren
opfokseld	opfokken
opgappen	opgapen
opgoaren	opgaren
opkled	opgekleed
opslopen	opgeslopen
opterpoe	opgetogen
schieten	opgeven
opsate	opgezet
opgribbeln	opgrabbelen
opgruien	opgroeien
optrekkers	ophaalgordijnen
ligten	opheffen
ophemmeln	ophemelen
ophiezen	ophijsen
huzen	ophitsen
opakkern	ophoepelen
bulten	ophopen
opheuren	ophoren
ophollen	ophouden
openijern	opineren
opjoagen	opjagen
opklandern	opkalanderen
opkoamer	opkamer
opkieken	opkijken
opklounen	opkluwenen
opkoulen	opkoelen
opkrösen	opkrassen
opkriegen	opkrijgen
opkrollen	opkrullen
opkennen	opkunnen
oplangen	oplange
oploaten	oplaten
opleggers	oplegger
vaaieroog	oplettend
opsmiten	opleveren
opmoaken	opmaken
opmoakersboudel	opmakersboel
opmoanen	opmanen
opmaarkelk	opmerkelijk
opmarken	opmerken
opmis	opmits
opgemodderd	opmodderen
opmuiten	opmoeten
opnuimen	opnoemen
opperdepop!	opperdepop
naarfvel	opperhuid
pleegsman	opperman
oppotjen	oppotten
oppropt	opproppen
opreukeln	oprakelen
oprecht	oprechtheid
opregen	opregenen
uetvârt	oprijlaan
opbölken	oprispen
oproupm	oproepen
oproaden	opruien
oproaders	opruier
oproaderie	opruierij
oetrakken	opruimen
oproemer	opruimer
opschampijern	opschamperen
opscheept	opschepen
snarken	opscheppen
snarker	opschepper
oapedriller	opscheppertje
opschijten	opschieten
opschienen	opschijnen
klunen	opschik
opschimmeln	opschimmelen
opschokkijern	opschokkeren
opschrieven	opschrijven
opsloagen	opslaan
opsloten	opsluiten
opslobbern	opslurpen
opsnieden	opsnijden
opspeulen	opspelen
opsproak	opspraak
opstoan	opstaan
opstoanstied	opstaanstijd
opstannen	opstanding
opstel	opstellen
opsteukeln	opstokelen
oproaden	opstoken
opstouen	opstouwen
opsteuven	opstoven
opstrupen	opstropen
opstaauwen	opstuwen
opsie	optie
beuren	optillen
optimmern	optimmeren
optrekkers	optrekker
opvalen	opvallen
opvaleg	opvallig
graimsel	opveegsel
opviezeln	opvijzelen
opvlijgen	opvliegen
stiegens	opvlieger
opbrengen	opvoeden
opvuiern	opvoeren
opvörken	opvorken
opvolden	opvouwen
opvroagen	opvragen
opvreters	opvreter
opvrijzen	opvriezen
opweeren	opweren
opsoage	opzage
opzeelen	opzeel
opswanzen	opzwansen
oploopen	opzwellen
oraanje	oranje
ordelk	ordelijk
schieren	ordenen
oddennelk	ordentelijk
oddennelke	ordentelijke
oddennelkhaid	ordentelijkheid
odder	order
ornoarie	ordinair
òrgenizoatsie	organisatie
örgelist	organist
örgel	orgel
otterdoks	orthodox
orzeg	orzig
okse	os
ossegang	ossengang
ozzeg	ossig
otken	otje
ol	ou
ol	oud
ollen	oude
olheer	oudeheer
oljoar	oudejaar
ollú	oudelui
older	ouder
olderliek	ouderlijk
olderloos	ouderloos
olderwets	ouderwets
olwief	oudewijven
olwievekrant	oudewijvenkrant
olwievetoonen	oudewijventeen
oldgeboorntje	oudgeborene
òldgedainde	oudgediende
olske	oudje
oldkroams	oudkraams
olmèlk	oudmelks
oldmoods	oudmodisch
olds	ouds
òldstrieder	oudstrijder
òltieds	oudtijds
flepsjijker	ouwehoer
ahoeren	ouwehoeren
aauwel	ouwel
owel	ovel
ovend	oven
overoameg	overademig
alerwegens	overal
overalhoalen	overalhalen
overarbaiden	overarbeiden
overbetern	overbeteren
overbluvven	overbluffen
overbodeg	overbodig
overbou	overbouw
overkompleet	overcompleet
befoezeln	overdonderen
sandern	overdrijven
overijn	overeen
overeerstjen	overeersten
overaarven	overerven
overgoan	overgaan
spijen	overgeven
overhoal	overhaal
overoameg	overhaast
verijlen	overhaasten
overjoareg	overjarig
overknoopen	overknopen
aflijvig	overleden
euvelleer	overleer
verzin	overleg
onnéren	overleggen
omdenken	overlegl
uetgân	overlijden
overloopersveers	overloopvaars
overloopen	overlopen
overloopersveers	overlopersvaars
bruil	overmoedig
overnoabern	overnaburen
overnijs	overnieuw
overnijs	overnieuws
miemeroatsie	overpeinzing
overregt	overrecht
overjoagen	overrijden
overstrieken	overstrijken
overstromen	overstroming
overteerig	overterig
overtou	overtoe
overtoukomen	overtoekomen
overtugen	overtuigen
overtugen	overtuiging
overvaal	overval
overveer	overver
oververdijnen	oververdienen
zat	overvloedig
overwinnoar	overwinnaar
Viktorie	overwinning
overzetterei	overzetterij
overzijn	overzien
poike	pa
poike	paai
poaien	paaien
paikoamer	paaikamer
strikbaintjen	paalklimmen
poar	paar
peerd	paard
peerenwoagen	paard-en-wagen
boonstro	paardebonenstro
peerboon	paardeboon
peerhoar	paardehaar
Röskammer	paardehandelaar
peersneers	paardenaars
peerebloum	paardenbloem
peerdoetje	paardendoetje
peerdokter	paardendokter
peergang	paardengang
peerhoar	paardenhaar
peerhomme	paardenham
paardehark	paardenhark
peerdekop	paardenkop
paardekwelder	paardenkwelder
peerleer	paardenleer
peerslengte	paardenlengte
peersman	paardenman
peerdmantje	paardenmannetje
vouerman	paardenmenner
peermis	paardenmest
peeroogen	paardenogen
peerspul	paardenspel
peerstal	paardenstal
peerstaldeur	paardenstaldeur
peertjetoom	paardentoom
peervieg	paardenvijg
peerevilder	paardenvilder
peervolk	paardenvolk
peerwark	paardenwerk
peerspul	paardespel
peermug	paardevlieg
pittje	paardje
pittjen	paardjespelen
peerdrieden	paardrijden
sangen	paars
poaskedoagen	paasdag
poaskaai	paasei
pachtener	pachter
por	pad
padliggers	padligger
pafken	paffen
paaged	pages
pakjen	pak
pakdouk	pakdoek
pakaiër	pakei
pakop	pakhoop
pakhoes	pakhuis
pakjegoud	pakjesgoed
pakkelarrie	pakkelarie
pakkiekoare	pakkenkar
pakloopen	paklopen
pakstroo	pakstro
pelaais	paleis
poalen	palen
oal	paling
schieroal	palingsoort
oalkopòftrekkerij	palingtrekkerij
palsoaden	palissaden
pias	paljas
peller	pallet
paalmboom	palmboom
panje	pan
paand	pand
paandkevetten	pandkevetten
pandrooiers	pandrooier
pandekt	pangedekt
panheern	panharing
pankouk	pannekoek
pankouk	pannenkoek
pankouksmest	pannenkoekenmes
pankoukspan	pannenkoekenpan
pannenstrieken	pannenstrijken
panjevisch	pannetjesvis
pantovvel	pantoffel
brij	pap
pípà	papa
poapkullen	papenkul
pampier	papier
pòppeljòt	papillot
paps	pappig
peroade	parade
parredies	paradijs
parregroaf	paragraaf
prelleweg	parallelweg
p’rpluu	paraplu
perdoes	pardoes
perdon	pardon
poaren	paren
perijern	pareren
perfors	parforce
parreg	parg
paark	park
permanteg	parmantig
parnes	parnas
partekelijr	particulier
pertij	partij
partijig	partijdig
parluu	partijlui
paskloar	pasklaar
posek	pasoek
passoabel	passabel
passezier	passagier
poazen	passen
schikkelk	passend
postern	passeren
pinksternakken	pastinaak
pasterij	pastorie
petìnt	patent
petìnt-eulie	patentolie
potterwolds	paterswolds
pesjìnt	patient
petries	patrijs
petroelie	patrouille
bats	pats
paauwstaart	pauwstaart
peek	peddik
tonebikker	pedicure
pig	peg
pegeln	pegelen
peige	peiger
pail	peil
paailen	peilen
pekelzunde	pekelzonde
pikrout	pekroet
peldust	pelduist
pelmeulʼn	pelmolen
pelstijnen	pelsteen
bont	pelswerk
peul	peluw
pìnnelikker	pennelikker
pennelikken	pennenlikken
puutholder	penningmeester
pennenzestien	penningzestien
parnose	penoze
penze	pens
penzioun	pensioen
pepern	peperen
peperg	peperig
persail	perceel
persìnt	percent
perchloroatschoade	perchloraatschade
peeren	peren
hekjeperfekje	perfect
schòft	periode
paarkemint	perkament
peron	perron
paarzen	persen
persoonlek	personnlijk
persoonsbewies	persoonsbewijs
paarstôrf	persturf
petij	pertij
paarzek	perzik
malteraaiern	pesten
pestelìntsie	pestilentie
pestponum	pestponem
lakvogel	pestvogel
petten	pet
petjemart	petjemarkt
petrolie	petroleum
poul	peul
pulen	peulen
poeren	peuren
peutern	peuteren
peuzeln	peuzelen
fielipskwartes	philipskwartje
pioano	piano
pioater	piauter
paik	piek
kopschraben	piekeren
routerg	pienter
pieperg	pieperig
piepjonk	piepjong
pierewaaien	pierewaai
pieren	pierewaaien
piesappeltjes	piesappel
piethoan	piethaan
piezeln	piezelen
pei	pij
piejekker	pijjekker
pielen	pijlen
pielter	pijler
pien	pijn
pienbaank	pijnbank
pienegen	pijnigen
