Nederlands;Gronings
Ja, zei de vrouw;“Joa,” zee vraauw
Stainhuis, maar weet je wat dat kost mijn jongen, dat we immers niet kunnen betalen.;Stainhoes, “moar waistoe wel wat dat kost mienjong, dat kinnen wie ja nait betoalen.”
Op tijd dat ik zo mee ga;In tied dat ik zo mit
Op de afwastop zag ik aan de rand van de autobane een groot bord verschijnen met de afslag naar;Oafke aan t keuveln was zag ik aan de kaande van d'autoboane n groot bord verschienen mit d'òfslag noar
Westerstad en dat was immers het stadje waar we de koopvaardij en verkoopdemonstratie hadden.;Westerstede en dat was ja t stadje woar wie de kovvietoavel en verkoopdemonstroatsie haren.
Ik draaide af en ging met een sierlijke boog pakplaat op, toen had ik de microfoon gegrepen en vertelde de mensen in de achterkamer dat we koffie gaan drinken.;Ik draaide òf en ging mit n sierleke boog pakeerploats op, intied haar ik mikrofoon grepen en vertelde de lu achterin dat wie kovviedrinken gingen.
Bij het uitstappen zee;Bie t oetstappen zee
Stainhuis: Hoe laat gaan we dan weer verder mijn jongen? Oh, zei ik en keek naar de horloge, over zes uur vertrekken we weer, anders hield u geen tijd genoeg over in;Stainhoes: “Hou loat goan wie den weer wieder mienjong?” “Oh”, zee ik en keek op t hallozie, “over n zes ketaaier vertrekken wie weer, aans holden joe gain tied genog over in
Oldenburg om te winkelen.;Oldenburg om te winkeln.”
Toen ik de bus weg zette haar en even het lenen lijkop zette haar, ging ik ook onderdak, had ik ook wel zin in koffie.;Dou ik de bus weg zet haar en even de leunens liekop zet haar, gong ik ook onderdak, ik haar ook wel zin in kovvie.
Bij aankomst was de demonstratie al druk aan de gang en de verkopers waren al druk bezig de eerste bestellingen te noteren.;Bie binnenkomst was de demonstroatsie al drok aan loop en de verkopers wazzen al drok bezeg de eerste bestellens te noteren.
Deze reis hadden ze pannen en potten te koop en onderberen met echte textiel schapenwol erop.;Dizze raais haren ze pannen en potten te koop en onderbérren mit echte tekselse schoapewol der op.
Die schaapwool, zei de verkoper net, is overal goed voor, voor eczeem en voor remedie en oestrogeen.;Dij schoapewol, zee de verkoper net, is overaal goud veur, veur ekzeem en veur remetiek en oksterogen.
Het is toch net Haarlemmereolie, dacht ik.;t Is ja net Hoarlemmereulie, docht ik.
"En, zei ik tegen Berrus, ""hebben jullie al wat";“En,” zee ik tegen Berrus, “hemmen ie al wat
15 was gegaan.;15 goande was.
O, zei hij, het is niet zo bijzonder.;“Och,” zee hai, “t is nait zo biezunder.
Afgezien dat hij naar zo'n winkel ging met klager en daar had ik ja helemaal geen zin in.;Oafke dij is noar zo'n winkel goan mit klaaier en doar haar ik ja haildaal gain zin in.
Daarom ben ik uit nieuwsgierigheid in die paardenafval gegaan.;Doarom bin ik oet nijsgiereghaid in dij peerdeboudel goan.
Toen ik onder het dak was kreeg ik een keer een papier in mijn handen gedrukt en die kerel zei, 'pleeg iets los om dat papier in te vullen'.;Dou ik onder dak was kreeg ik vot n pepier in de handen drokt en dij kirrel zee, 'kleig geets loos invulln die papiere'.
Ik vulde marshmallow wat in over een paar paarden en gaf hem terug.;Ik vulde moarzo wat in over n koppel peerden en gaf hom terug.
'Tijn mark bijt', zei hij;'Teen mark biete', zee dij
Duitser, ik dacht verrek moet ik er ook nog voor betalen, nou ja weg dan ook maar en betaal tien marks.;Duutser, ik docht verrek mout ik der ook nog veur betoalen, nou ja vot den ook mor en betuil tien maark.
Nog steeds heel onbevreesd bekeek hij mij.;Nog haildaal ontredderd keek hai mie aan.
Ik kan het ja niet vatten, zei hij nog een keer, het is immers niet te geloven, wat een geluk.;“Ik kin t ja nait vatten,” zee hai nog n moal, t is ja nait te leuven, wat n mazzel.”
Ik zei: Kom, het wordt bijna tijd om naar de bus en weer naar huis te gaan.;Ik zee: “Kom, t wordt stoadeg aan tied om noar de bus en weer op hoes aan te goan.”
We liepen naar de bus.;Wie luipen noar de bus.
O, weet je voor het eerst, zei ze;“Och, waist sjevveur,” zee
Rustig, zeg nog maar niets tegen;Berrus, “zeg nog moar niks tegen
Afschaal als je wilt, dat kan ik beter doen als we weer bij huis zijn. U hebt gelijk, zei ik, dat is wijs.;Oafke ast wilst, dat kin ik beter doun as wie weer bie hoes binnen.” “Ie hebben geliek,” zee ik, “dat is wies.”
Laten we weer eens op het uitgangspunt stappen;Dou wie weerom wazzen op t oetgangspunt stapten
Af en toe;Oafke en
Berrus was de laatste uit.;Berrus as leste oet.
Ik heb nog iets voor u, Stainhoes, zei ik, toen ik de geld in een kevòt deed.;“Ik heb nog wat veur joe, Stainhoes”, zee ik, intied haar k de sìnten in n kevòt doan.
Alstublieft. Dank mijn jongen voor de hulp, zei hij en samen met Oafke zag ik hem weglopen.;“Asjeblieft.” “Bedankt mienjong veur de hulp, zee hai en soam mit Oafke zag ik hom weglopen.
Drie maanden later zag ik in een plaatselijk blad een overlijdensadvertentie staan van;Drij moand loater zag ik in n ploatselk bladje n overliedensadvertentsie stoan van
Afk;Oafke
Stainhuis, ze was zeventig acht jaar oud geworden.;Stainhoes, ze was achtenzeuventeg joar worden.
Onderaan het bericht stond:;Onderaan t bericht ston:
Afkicken;Aafke uit
Australië, dankbaar dat mijn moeder na vijftien jaar nog steeds hier was.;Australië, dankbaar dat mijn moeder nog hier is geweest na vijftien jaar.
Ik dacht, wat een merrie.;Ik docht, wat n mazzel.
Uildrix kocht;Uildriks kocht
Stainhuis? Geen jongen ben je maar in de hoed, ik laat mij hier geen voet uitstappen hoor, met die flauwbekul hoefden ze bij mij niet te aankomen.;Stainhoes?” “Nee jong bist maal in de hoed, ik loat mie hier gain poot oetdraaien hor, mit dij flaauwekul huiven ze bie mie nait aankommen.”
Toen het af liep de reis verder naar voren;Dou t òflopen was ging de raais wieder noar
Oldenburg.;Oldenburg.
Oldenburg was toen ik even op een terrasje gaan zitten met een dik ijssorbet, het was geweldig mooi weer te worden en ik keek met veel plezier naar al die mensen die bij me langs gingen wandelen.;Oldenburg was k ais even op n terraske zitten goan mit n dikke ijssorbet, t was aibels mooi weer worden en ik keek mit veul plezaaier noar aal dij minsen dij bie mie langs perdaaiern.
Dikke mannen en vrouwen, sommigen zo moer als een panlat, jonge meisjes met korte rokken en paars haar, snaakse jongens met een grote kam op het hoofd.;Dikke kirrels en vraauwlu, summege zo moager as n panlat, jonge wichter met körde rokjes en paars hoar, snakkege jonges mit n grode kamme op kop.
Er kwam van alles langs.;Der kwam van alles langs.
Toen ik die sorbet in het lijf had, besloot ik maar eens de Paardenmarkt of te lopen.;Dou ik dij sorbet in t lief haar besloot ik om moar ais even de Pferdemarkt òf te lopen.
Deze straat was vroeger vooral bekend om zijn wedstrijden voor de paardenrennen.;Dizze stroat was veuraal bekend om zien wedketoor veur t peerdjerennen.
Toen ik zo bij dat ketoor was, zag ik opeens;Dou ik zowat bie dat ketoor was zag ik inains
Toen hij naar buiten kwam, toen hij mijn aankomst zag, kwam hij recht op mij afzetten en begon van daar al te roepen.;Stainhoes noar boeten kommen, dou hai mie aankommen zag kwam hai geliek op mie òf zetten en begon van vér al te roupen.
Ik heb gewonnen, ruip hij, ik heb gewonnen, voor! Ik bleef staan om op hem te wachten.;“k Heb wonnen,” ruip hai, “ik heb wonnen, sjevveur!” Ik bleef stoan om op hom te wachten.
Wat denkt u;“Wat main ie den
Stainhoes, zei ik, wat hebben jullie gewonnen dan? Tienduizend mark heb ik gewonnen, ik sta te trillen op mijn benen, het loopt bijna dun door mijn broek, zei hij met tranen in de ogen.;Stainhoes”, zee ik, “wat hebben ie wonnen den?” “Tiendoezend maark heb ik wonnen, ik stoa te trillen op mien bainen, t lopt mie sikkom dun deur de boksem”, zee hai mit troanen in ogen.
O, wat zal er van mij;“Och, wat zel mien
Afgezien blijdschap zijn, zei hij, kunnen we nu naar huis;Oafke blied wezen,” zee hai, “nou kinnen wie noar
"Australië toe, naar het meisje. ""We gaan eerst maar eens op dat bankje zitten, zei ik, den jullie even bij jullie positiven kunnen komen, trillen jullie ja als een rustig man.";Austroalië tou, noar t wicht.” “Wie goan eerst moar ais even op dat bankje zitten”, zee ik, “den kinnen joe even bie joen positieven kommen, ie trillen ja as n ruske man.”
Dou wie zat greep;Dou wie zatten greep
Stainhuis in zijn broekzak en huil daar een paar handen vol biljetten uit, die hij in mijn handen drukte.;Stainhoes in zien buutse en huil doar n poar handen vol biljetten oet, dij hai mie in de handen drokde.
Wil je dat wel even voor mij opbaar brengen? Voorbeeld? Zei hij, ik voel me er niet mee vertrouwd, ik ben doodsberistigd dat ik het verlies.;“Wils doe dat wel even veur mie opbaargen sjevveur?”, zee hai, ik vuil mie der nait mit vertraauwd, ik bin doodsbenauwd dat ik t verlais.”
Ik beloofde hem dat ik er goed op zou passen en in de buskast zou doen.;Ik beloofde hom dat ik der goud op pazen zol en in de buskluus doun zol.
'Wil dat alsjeblieft meteen doen', zei hij, 'maar ik blijf nog even zitten om bij te komen.';“Wils dat asjeblieft votdoadelk doun”, zee hai, “den blief ik nog even zitten om bie te kommen.”
Ik liep weg naar de bus, toen ik op de zevenvoorstoel zat ben ik aan het tellen gegaan en kwam te staan, het was tienduizend merken.;Ik luip vot noar de bus, dou ik op sjevveursstoule zat bin ik aan t tellen goan en werempel, t was tiendoezend maark.
In die tijd was dat zo'n beetje twaalfduizend gulden, een goede smaak geld dus.;In dij tied was dat zo'n beetje twaalfdoezend gulden, n beste smak geld dus.
Ik deed de kluis open en stopte de banken maar snel erin.;Ik dee de kluus open en stopte de sìnten der mor gaauw in.
Doe me weer aan;Dou k weer bie
Stainhoes zat op het bankje en vertelde haar dat de munten in de kluis zaten, moest ik hem even vertellen wat er nou aan de hand was;Stainhoes op t bankje zat en verteld haar dat de sìnten in de kluus zaten, moande ik hom ais te vertellen wat der nou
TOM TOM 16 Gezien en Geetje zijn geen echte vakantiebonnen.;TOM TOM 16 Gezienus en Geesje binnen gain echte vekaanzieminsen.
Eigenlijk hebben zij er ook geen tijd voor.;Aiglieks hebben zai der ook gain tied veur.
Er is altijd wel wat te doen op de boerderij en dat laat ze niet in een agenda zetten.;Der is aaltied wel wat te doun op boerderij en dat let zuk nait ien n agenda stoppen.
Gezien dat hij graag een beetje handelt en kwanteert, heeft hij twee jaar geleden een nog knappe caravan op zijn hoofd getikt.;Gezienus groag n beetje handelt en kwaanzelt, haar hai twij joar leden n nog knappe caravan op kop tikt.
Er was een, die zijn vakantiehuisje op wielen wilde ruilen voor veertig bal koelgras die hij;Der was ain, dij zien vekaanziehoeske op wielen wel ruilen wol veur vatteg boal koelgras dij
Gezien over haar.;Gezienus over haar.
Die uitwisseling was gebeurd.;Dij ruil was aangoan.
De jongen had dat maar niks gevonden en had erover gefotografeerd.;Geesje haar dat mor niks vonden en haar der over foeterd.
Wat moesten ze als boerelu nou met zo'n fertuut.;Wat mozzen zai as boerelu nou mit zo’n fertuut.
Maar toen ze er een keer met haar tweedehands mee op reis was geweest hadden ze naar;Mor dou zai der n moal mit heur twijbaaident mit op raais west haren noar
Drent, haar;Drint, haar
Het kaarsje kreeg de smaak aan.;Geesje smoak te pakken kregen.
Na nog een weekendje Achterhoek, waren zij later zelf al eens in Limburg geweest.;Noa nog n weekendje Achterhouk, wazzen zai loater zulfs al n moal ien Limburg west.
Dit jaar had er een buitenlandse reis op de agenda staan.;Dit joar haar der n boetenlandse raais op pergram stoan.
Toch België in zou het gaan, helemaal naar de Aardenen.;Tou België ien zol t goan, haldaal noar Ardennen.
Dat van;Dat von
Uiterlijk wel een beetje spannend, maar hij had geen;Gezienus wel n beetje spannend, mor hai haar n
Tom vroeg op zijn verjaardag, en ook kregen, en daar konden ze mooi mee op pad.;Tom op zien joardag vroagd, en ook kregen, en doar konden ze mooi mit op pad.
"Wegenkaartjes konden thuis blijven; de vraag over welke afslag ze moesten hebben, was vroegtijdig.";"Wegenkoarten konden thoes blieven; hikhakkerij over welkse òfslag zai hebben mozzen was vleden tied."
Reis ging best en pad naar de camping ergens bij;Raais ging best en pad noar camping aargenswoar bie
Remouchamps, haar mee;Remouchamps, haar mit
Tom was een stukje van een hond.;Tom n floitje van n sint west.
Tot ze er bijna waren!;Totdat ze der sikkom wazzen!
Zij zagen het campingplaatsje, ver weg onderaan de vallei gelegen, toen;Zai zagen camping, wied vot onder ien t dal aal liggen, dou
Tom-ding;Tom-ding
Gezien verscheen hij meteen rechtsaf te slaan, een smal bergpadje op.;Gezienus opdruig votdoadelk rechtsòf te sloan, n smaal baargwegje op.
De jongen had veel liever de grote weg willen volgen, omdat hij ook vast en zeker ergens bij het camping in de buurt vandaan zou komen.;Geesje haar veul laiver grode weg volgen wild, omreden dij zol ook vast en zeker wel aargens bie camping ien buurt oet kommen.
Gezien had ze dat gezegd;Gezienus haar zegd dat
Tom stond zeker een kortere weg naar het camping voor ogen en daar ging het heen.;Tom zekerwoar n kortere weg noar camping veur ogen ston en doar ging t hìn.
Nou dat grote vertrouwen op de wegwijzelfruit heeft Gezienus weten!;Nou dat grote vertraauw op t wegwies-fertuut het Gezienus waiten!
Na een paar honderd meter was het wegje steeds smaller geworden.;Noa n poar honnerd meter was t wegje smaler en smaler worden.
Het meisje kwam haar nog tegen;Geesje haar nog tegen
Gezien;Gezienus
Haarpasta;Haarsraais
's Ochtends deed ik de juiste stap;Smörgens orreg dokeg stap k ien
Bij aankomst in de trein, ga naar;Arriva traain, goa noar
De stad glijdt heel gestaagd door die grauwe velden langs lange sloten omgeven door roestend rijden slistert de trein toetend door dikker wordend doek donker door die kleine wereld kom ik in drukke tijd aan;Stad glie hail gestoadeg deur dij graauwe velden laangs laange sloten omliest deur roustend raait sliestert traain toetend deur dikker wordende dook dwaars deur dij klaine wereld kom k aan ien drokke
zei hij, dat hij maar beter kon leven nu dat het nog kon, maar hij had gezegd dat ze al stijf bij het kamperen was en haar verder reden.;zegd, dat e mor beter keren kon nou dat t nog kon, mor hai haar zegd dat ze al stoef bie camping wazzen en haar wieder reden.
"Maar het padje was nog smaler geworden en ook minder; diepe koelen en stukjes rots dat deel waren gevallen van staal hellingen, daar tussenin zij perbaaierden te komen met de caravaan.";"Mor t wegje was nog smaler worden en ook minder; daipe koelen en stukken rots dij deel valen wazzen vanòf staaile hellens, doar zai tussendeur pebaaierden te kommen mit caravan."
Tot ze niet verder konden.;Tot ze nait wieder konden.
De weg werd te smal en wat slimmer was, er hing een dikke boom over de weg, daar kon de auto wel maar de caravaan naast ons door!;t Wegje wer te smaal en wat nog slimmer was, der hong n dikke boom over wegje hin, doar auto wél mor caravan náit onner deur kon!
Gezienus vloekte en overvalde,;Gezienus vlukte en bandiesde,
De jongen was heel stil, maar jammer af en toe even, dat hij had;Geesje was hail stil worden mor jammerde òf en tou even, dat haar
Gezien je toch maar naar haar luisteren wilde.;Gezienus toch mor noar heur luustern wild.
Door dat was Gezienus nog boosder geworden en had hij het nog warmer gekregen.;Doardeur was Gezienus nog kwoader worden en haar hai t nog waarmer kregen.
Uiteindelijk heeft de caravaan, die sikkom vast zat tussen twee bergwandjes aan de weerszijden, losgegooid en ze alleen met de auto weer kroop en hobbelde en bij het kamperen aan land.;Op t leste het e caravan, dij sikkom vaast zat tussen twij baargwanden aan weerskanten, lös gooid en binnen zai allain mit auto wieder kropen en hobbeld en bie camping aanland.
Kamper, die gelukkige;Campingholder, dij gelukkeg
Nederlands sprak, had ze stomverbaasd te komen te zien over de weg die voor twee jaar geleden al afgesloten was voor verkeer, omdat er stukjes rotsafval kwamen.;Nederlands proatte, had heur stomverboasd aan kommen zain over wegje dat veur twij joar leden al òfsloten was veur verkeer, omreden der kwammen stukken rots omdeel valen.
Hij had;Hai haar
Het meisje vroeg waarom ze niet gewoon over de nieuwe rondweg kwamen, die vlak voor de camping landing liep.;Geesje vroagd woarom zai nait gewoon over nije rondweg kommen wazzen, dij vlak veur camping laans laip.
Met veel pijn en moeite is de caravaan zelf vanochtend nog met trekker van de campingmeester ruggerecht terug naar de grote weg toe gesleept.;Mit veul pien en muite is caravan zulfde nommirreg nog mit trekker van campingboas ruggelings terug noar grote weg tou sleept.
Haldaal zonder schoornis is kerrevan er niet afgekomen maar er kon nog in slapen worden, het weer was mooi geweest en na een weekje rustig aan het doen, gingen we naar binnen;Haldaal zunder schoa is kerrevan der nait òfkommen mor der kon nog ien sloapen worden, t weer was schier west en noa n weekje rusteg aan doun, binnen
Jij en ik;Geesje en
Gezien, deze keer over de nieuwe rondweg, richten wij de snelweg weer op huis aan.;Gezienus, dit moal over nije rondweg, richten snelweg weer op hoes aan goan.
Op een grote parkeerplaats onderweg, daar zij even een kop vol koffie had gedronken, vroeg één van hen weg naar;Op n grode parkeerploats onderwegens, doar zai even n kop vol kovvie dronken haren, vroug ain heur weg noar
Remuchamps.;Remouchamps.
De plaats stond wel op zijn kaart, zei hij, maar weg daarheen niet.;Ploats ston wel op zien koart, zee e, mor weg der hin nait.
Hoe of dat kwam?;Hou of dat kwam?
De kerel had een grote bos schoollas open op de motorhok van zijn auto liggen.;Kerel haar n grode Bos schoulatlas open op moterkap van zien auto liggen.
Overzicht van België en Luxemburg, schaal 1: 800.000 op bladzijde 73, lag voor.;Overzichtskoart van België en Luxemburg, schoal 1: 800.000 op bladziede 73, lag veur.
Terug in de auto zat;Terug ien auto haar
Gezien, verder rijdend, had Everven veel plezier over die domme;Gezienus, wieder riedend, aibels veul lol had over dij domme
Nederlander, die met de schoollas uit 1964 op weg was.;Hollander, dij mit schoulatlas oet 1964 op pad was.
Geetje had haar hoofd wat geschud en zei dat je echt geen dom bent;Geesje haar wat mit kop schud en zegd dat je echt gain domme
Nederlanders weden nodig om op reis te kunnen kiezen.;Hollander weden huifden om op raais preblemen te kriegen.
Zij gaan zeker wel eens opnieuw naar het buitenland met in de tijd gemaakt caravan, maar de ...;Zai goan zekerwoar nog wel ais vannijs noar boetenlaand mit ien tied moakte caravan, mor den wel ...
zonder Tom en met een nieuwe wegenkaart.;zunder Tom Tom en mit n nije wegenkoart.
Denk;Gedachten
Ze komen en gaan;Ze kommen en goan
Als een boze, branderende zee;As n kwoade, broezende zee
Als een stille meer;As n stil meer
Verstopt in het groen;Verscholen in t gruin
Als een boerende onweer;As n bulderend onweer
Zwaard polen;Zwaarde poulen
Van duistere ellende;Van duustere ellènde
Stinkend als dood water;Stinkend as dood woater
Gedachten van liefde;Gedachten van laifde
Van haat;Van hoat
Gedachten van hoop en vertrouwen;Gedachten van hoop en vertraauwen
Denk als donkere wolken;Gedachten as donkere wolken
Af en toe jagend, in tomeloze vocht;Joagend soms, in tomeloze voart
Maar vaak komen de goede gedachten;Mor voak kommen de goie gedachten
Laat;Loat
Douchen;Douche
Water gaat er over mijn lichaam;Woater gaait der over mien lief
Verdwijnt samen met uitgestrekte wanhoop in de afgrond;Verdwient soam met uutpaarste wanhoop in d'òfgrond
Zodat ik kan blijven;Zodat ik kin blieven
Hoop;Hopen
Toen zij weer thuis was kon er in geuren en kleuren over haar buitenlandse reis verteld worden, vooral door;Dou zai weer thoes wazzen kon der ien geuren en kleuren over heur boetenlaandse raais verteld worden, veuraal deur
Geetje.;Geesje.
Bosatlas en Tom Tom kregen daar in zichzelf beroemde aandacht.;Bosatlas en Tom Tom kregen doar ien vanzulf roem aandacht.
Omgezet uit levensfase 3.;Omtoald uut Levenfase 3.
Momenten.;Momenten.
18 mag gezien, naast het laboratorium.;18 maggezien, noast t lab.
Dat was een lange kleine ruimte met stellasies aan beide kanten tot boven aan tou.;Dat was n laange smale ruumte mit stelloazjes aan baaide kaanten tot boven aan tou.
Zij moest daar altijd klauwen, maar toen was ze nog heel gesmeerd.;Zai mos doar altied opklaauwstern, mor dou was zai nog huil smui.
Samen met haar vriendin hadden ze boven in de muren een paar kleine gatjes aan boord en konden zo stilletjes naar het laboratorium kijken.;Soam mit heur kammeroad hadden zie boven in mure n poar leutje goatjes boord en konden zo stiltjes noar t lab kieken.
Dat was een mirakel.;Dat was n meroakel.
Toen het koffietijd was en iedereen in de kantine zat, klommen ze op de stillage en blasten ze papieren pijltjes naar de kantine.;As t kovvietied was en elkenain in kantine zat, klommen zie op stelloage en bloasden pampieren pieltjes noar kantiene.
Iedereen verbaasd, generieke, bekeek in rondte wel of dat wel gewoon had.;Elkenain verboasd, veraltereerd, in rondte kieken wel of dat wel ommaans haar.
Met haar verstikten beiden van het lachen, tot de pijn in het lichaam.;Mit heur baaident stikken van t laggen, tot aan pien in t lief tou.
En toen de afzonderlijke kantine binnenkwamen en onneusel vroegen of er iets los was.;En den apaart kantine binnen kommen en onneuzel vroagen wat of der loos was.t
Was echte vriendschap.;Was woare vrundschop.
Hij was echt een beetje gek op haar geweest, maar ze hebben nooit met elkaar gerookt.;Hai was steelskewies wel n bedie gek op heur west, mor zai hebben nooit smokt mit nkander.
Zij had al op tijd verkeren met haar jeugdsliefde en was een paar weken geleden veertig jaar getrouwd, en hij is later geëmigreerd naar;Zai haar al op tied verkerens mit heur jeugdlaifde en was n poar weke leden vatteg joar traauwd, en hai is loater emigreerd noar
Frankrijk, waar hij al een hele zet mee gezien heeft;Fraankriek, woar e al n huile zet mit zien
De Franse meid woont.;Fraanse poedie woont.
Ze zeggen altijd, uit het oog uit het hart, maar zo af en toe filmt ze nog evenom terug naar 1970.;Zai zeggen altied, uut t oog uut t haart, mor zo òf en tou filmt zai nog evenpies weerom noar 1970.
Joyce Bodewes Hoe een lekkertje een mens op kosten kan jagen.;Joyce Bodewes Hou n lekkerbekje n mins op kosten joagen kin.
Als 60-pluszer kun je een jaarabonnement bij de spoorwegen aanvragen.;As 60-pluzzers kin je n joarabonnement bie de spoorwegen aanvroagen.
Die kun je rijden met 40% kort.;Din kin je raaizen mit 40% körten.
De kaartjes worden u naar huis gestuurd, u betaalt een vast jaarbedrag en klaar is de kaas.;Koartjes worden joe in huus stuurd, ie betoalen n vast joarbedrag en kloar is kees.
We hadden formulieren opgestuurd en toen we de kaarten hadden begonnen, maakten we onmiddellijk plannen om er goed gebruik van te maken.;Wie hadden formelieren opstuurd en dou wie koartjes haren begonnen wie doalek plannen te moaken om der es goud gebruuk van te moaken.
Er werd afgesproken dat wij, als het mooi weer was, naar Scheveningen zouden gaan.;Òfsproken wuir, dat wie, as t mooi weer was, noar Scheveningen goan zollen.
De dag kwam al snel en we gingen aan het rozen.;Dag kwam al gaauw en wie gongen aan raaize.
De reis liep heel rustig en net na de middag arriveerden we in Scheveningen.;Raaize verluip hail smui en net noa middag kwammen wie aan in Scheveningen.
Man man, wat was het druk daar.;Man man, wat was t doar drok.
het leek wel of heel Nederland deze plaats als reisdoel had gekozen.;t Leek wel of hail Nederland dizze ploatse as raaisdoul kozen haar.
Het dwaalde;t Wemelde
Hij was eigenlijk een normale doorgesnee jongen op de mule, maar toen zijn vrienden niet bij elkaar kwamen met zijn lief, kon hij zulke maal dagen doorgaan, dat iedereen hem een bedje dormen vond.;Hai was aiglieks n normoal deursnee jonkje op mulo, mor as zien hazzens nait ain wazzen mit zien lief, muik hai zukse male doagen deur, dat elkenain hom n bedie dörms vond.
Als ze daarbij;As zie den bie
Het Franse rijk ontslag mozzen van: tu es il est;Fraans riege opzeggen mozzen van: je suis – tu es – il est
Q, dan zei ie: zij zei zij zei hij zei hij zei - nou zei hij hij zei hij zei hij zei hij zei;Q, den zee e: sje zuis – tu zuis – iel zuis - noeszuizon – voeszuizee – ielzuizend!
Iedereen lacht ervan.;Elkain blaauw van t laggen.
Met Engels zo: hij is jullie zijn hij is ...;Mit Engels evenzo: ie am – joe am – he am ...
Man, dan moet ie weer op gang gaan.;Man, den mos e weer op gaang.
Zij was ook een klein dörpje.;Zai was ook n bedie dörms.
Zat meestal achter hem.;Zat mainsttied achter hom.
Die ze kleintje maakte van een stoffelijke zakdoek en die popkast speelde achter zijn heup.;Dee ze leutje knientje moaken van n stovven buusdouk en dee pobbekaast speulen achter zien heufd.
Nou, de leraar kwam meteen weg, gaf haar een haas over haar hoofd en kon ze weer eens op gang gaan.;Nou, leroar kwam vot geliek aanrunnen, gaf heur n haauw over kop en kon zai weer ais op gaang.
Om tijd te verstoten had ze eens alle jazzens met muisjes aan elkaar gebundeld.;Om tied te verdrieven haar zai n moal alle jazzen mit maauwen aan nander knupt.
Ze had nooit gedacht, dat de leraar zou achterkomen dat ze dat had gedaan.;Zai haar noeit docht, dat leroar achter kommen zol dat zai dat doan haar.
Boekhoe, hoe dom kan je zijn.;Boekou, hou dom kin je wezen.
De hele week had ze het schoolplank bijna moeten vegen.;Heule weke haar zai schoulplaain bezzemschoon vegen mouten.
Vrienden waren ze geworden, beiden in hetzelfde schooljaar.;Vrunden waren zai worden, baaident in eksoamenjoar.
Beiden werken echter bij de ruitmeelfabriek op het kleeftootven laboratorium.;Baaident waarken goan bie eerabbelmeelfebriek op t kleefstovvenlaboratorium.
Zij moesten wennen aan het werken en verder leren in;Zai mozzen wennen aan waarken en wieder leren in
Stad op de analistenschool, maar plegtig aan konden ze grote scheikundeproblemen oplossen en werd ze wat;Stad op analistenschoule, mor stoareg aan konden zai grode scheikundesommen oplözzen en wozzen zie wat
H2O was water en;H2O was – wotter – en
NaCl - zout.;NaCl - zolt.
De grote kerels in het laboratorium hielden hem zo nu en dan voor het rotzooi, maar hij had er zelf ook hangend aan.;Grode kerels op t lab huilden hom zo nou en den veur t zootje, mor hai haar der zulven ook slinger aan.
Als zij tegen hem tegenkomen, moet je even naar het grote laboratorium een dichte gatjespan ophalen.;Zeden zai tegen hom, most even noar t grode lab n dichte goatjespaan ophoalen.
Hij kwam om met een potje ijsjes.;Kwam e weerom mit n pude ijsco’s.
Of hij moest het stoombad op 89 graden houden.;Of hai mos t stoombad op 89 groaden holden.
Man man, hij bleef aan het fietsen totdat hij het deur gedraaid had.;Man man, hai aalweg aan radje draaien tot dat hai t deur haar.
Zij lagen allemaal in een duik.;Zai lagen altmoal in n deuk.
Zij was later een klein baasje van het papier-;Zai was loater leutje boas worden van t pampier-
19 van de dagjes zijn gemist.;19 van dagjesminsen.
De terrassen waren volledig vol en de winkeltjes op de promenade deden goede zaken, zo te zienQ;Terrasjes zaten haailendal vol en winkeltjes op promenade deden goie zoaken, zo te zainQ
Toen we al die eten en drinken mensen zagen, kregen we vanzelf ook wel een beetje zin.;Dou wie aal dij etende en drinkende mensen zagen, kregen wie vanzulf ook wel n beetje zin.
Uiteindelijk waren we al vroeg van huis gegaan en was het nu al tegen iemand.;Uutendelk waren wie al vroug van huus goan en was t nou al tegen aine.
Waar konden we even rustig zitten?;Woar konden wie even rusteg zitten?
Nu vergeet dat maar.;Nou vergeet dat mor.
Het enige wat ons overbleef was het visserijkoor;t Ainege wat ons overbleef was de viskarre
We moesten toch wat, dus kochten we bij de visboer een lekkertje.;Wie mozzen toch wat, dus kochten wie ons bie de visboer n lekkerbekje.
Nou die ging er goed in.;Nou dij gong der goud in.
Al zitten op een muurje langs de promenade konden we ook even uitrusten van de rijzijn.;Al zittende op n muurtje langs de promenade konden wie ook even uutrusten van de raaize.
"Door het vasthouden van een visje krijg je ondanks een servietje, snel vetere handen, zei de vrouw: ""Ik loop even de trap of naar het strand, ik wil even mijn handen afwassen in het water.""";Deur t vastholden van n viske krieg je ondanks n servetje, gaauw vette handen, dus zee vraauw: ”Ik loop even de trappe òf noar t strand, ik wil even mien handen òfwassen in t wotter.”
Dat had ze bij nader aan nu beter niet kunnen doen!;Dat haar ze bie noader inzain nou beter nait doun kind!
Ze liep de trap of naar beneden, schoot iets onhandig over de losse zandlaag en kwam zo bij het water aan.;Zai luip trap òf noar beneden, schoevelde wat onhandeg over de lösse zandloage en kwam zo bie t wotter aan.
Zij boekte zich om haar handen even nat te maken.;Zai bokte zok om handen even nat te moaken.
